ticker,status,bars
CRCO,ok,95,2026-02-14T05:11:19.931713
CRDT,ok,662,2026-02-14T05:11:32.717093
CRDU,ok,105,2026-02-14T05:11:45.423393
CRED,ok,704,2026-02-14T05:11:58.162817
CRMG,ok,217,2026-02-14T05:12:10.972919
CRMU,ok,4,2026-02-14T05:12:23.721770
CRMX,ok,23,2026-02-14T05:12:36.485260
CRPT,ok,1105,2026-02-14T05:12:49.254676
CRSH,ok,448,2026-02-14T05:13:02.340288
CRTC,ok,562,2026-02-14T05:13:15.082498
CRWG,ok,130,2026-02-14T05:13:27.800862
CRWL,ok,314,2026-02-14T05:13:40.539786
CRWU,ok,141,2026-02-14T05:13:53.258140
CRXP,ok,44,2026-02-14T05:14:06.019784
CSB,ok,1256,2026-02-14T05:14:19.168593
CSCL,ok,162,2026-02-14T05:14:31.882773
CSCS,ok,162,2026-02-14T05:14:44.630228
CSD,ok,1256,2026-02-14T05:14:57.441857
CSEX,ok,63,2026-02-14T05:15:10.159218
CSHI,ok,868,2026-02-14T05:15:22.991545
CSHP,ok,396,2026-02-14T05:15:35.730402
CSIO,ok,45,2026-02-14T05:15:48.473406
CSM,ok,1256,2026-02-14T05:16:01.472988
CSMD,ok,623,2026-02-14T05:16:14.254680
CSNR,ok,258,2026-02-14T05:16:26.981228
CSPF,ok,258,2026-02-14T05:16:39.716131
CSRE,ok,258,2026-02-14T05:16:52.440002
CSSD,ok,45,2026-02-14T05:17:05.143989
CSTK,ok,195,2026-02-14T05:17:17.923212
CTAP,ok,46,2026-02-14T05:17:30.635434
CTEF,ok,166,2026-02-14T05:17:43.360512
CTEX,ok,1098,2026-02-14T05:17:56.123359
CTIF,ok,162,2026-02-14T05:18:08.857742
CTWO,ok,165,2026-02-14T05:18:21.600895
CURE,ok,1256,2026-02-14T05:18:34.563171
CUSD,ok,1105,2026-02-14T05:18:47.523362
CUT,ok,1256,2026-02-14T05:19:00.347728
CVAR,ok,1039,2026-02-14T05:19:13.277115
CVIE,ok,762,2026-02-14T05:19:26.036529
CVLC,ok,762,2026-02-14T05:19:38.812490
CVMC,ok,762,2026-02-14T05:20:51.550176
CVNX,ok,180,2026-02-14T05:21:04.274107
CVNY,ok,262,2026-02-14T05:21:17.042473
CVRD,ok,623,2026-02-14T05:21:29.792542
CVRT,ok,593,2026-02-14T05:21:42.547854
CVSB,ok,762,2026-02-14T05:21:55.316422
CVY,ok,1256,2026-02-14T05:22:08.237040
CWB,ok,1256,2026-02-14T05:22:21.612135
CWEB,ok,1256,2026-02-14T05:22:34.779713
CWII,ok,70,2026-02-14T05:22:47.500674
CWS,ok,1256,2026-02-14T05:23:00.326499
CWVX,ok,151,2026-02-14T05:23:13.075489
CXRN,ok,292,2026-02-14T05:23:25.800653
CZAR,ok,544,2026-02-14T05:23:38.539653
DABS,ok,240,2026-02-14T05:23:51.265995
DADS,ok,28,2026-02-14T05:24:03.813608
DAK,ok,138,2026-02-14T05:24:16.518969
DALI,ok,1256,2026-02-14T05:24:29.364839
DAMD,ok,62,2026-02-14T05:24:42.245640
DANA,ok,50,2026-02-14T05:24:54.957549
DAPP,ok,1216,2026-02-14T05:25:07.857598
DAPR,ok,1213,2026-02-14T05:25:20.676512
DARP,ok,619,2026-02-14T05:25:33.434173
DASX,ok,78,2026-02-14T05:25:46.161337
DAT,ok,1098,2026-02-14T05:25:58.915120
DAUG,ok,1256,2026-02-14T05:26:11.687197
DAX,ok,1256,2026-02-14T05:26:24.491867
DBAW,ok,1256,2026-02-14T05:26:37.290060
DBEF,ok,1256,2026-02-14T05:26:50.289594
DBEM,ok,1256,2026-02-14T05:27:03.129935
DBEZ,ok,1256,2026-02-14T05:27:15.956987
DBJP,ok,1256,2026-02-14T05:27:28.903116
DBND,ok,969,2026-02-14T05:27:41.774434
DBP,ok,1256,2026-02-14T05:27:54.679323
DBSC,ok,41,2026-02-14T05:28:07.389285
DCMT,ok,511,2026-02-14T05:28:20.112418
DCOR,ok,608,2026-02-14T05:28:32.873460
DCRE,ok,719,2026-02-14T05:28:45.990705
DDEC,ok,1256,2026-02-14T05:28:58.935265
DDFD,ok,52,2026-02-14T05:29:11.639936
DDFF,ok,10,2026-02-14T05:29:24.394506
DDFJ,ok,30,2026-02-14T05:29:37.173214
DDFL,ok,158,2026-02-14T05:29:49.922973
DDFN,ok,71,2026-02-14T05:30:02.652324
DDFO,ok,94,2026-02-14T05:30:15.375189
DDFS,ok,115,2026-02-14T05:31:28.093710
DDIV,ok,1256,2026-02-14T05:31:40.984883
DDLS,ok,1256,2026-02-14T05:31:53.816791
DDM,ok,1256,2026-02-14T05:32:06.793103
DDNQ,ok,30,2026-02-14T05:32:19.636581
DDSQ,ok,30,2026-02-14T05:32:32.432505
DDTD,ok,52,2026-02-14T05:32:45.130322
DDTF,ok,10,2026-02-14T05:32:57.872263
DDTJ,ok,30,2026-02-14T05:33:10.634527
DDTL,ok,158,2026-02-14T05:33:23.350301
DDTN,ok,71,2026-02-14T05:33:36.067384
DDTO,ok,94,2026-02-14T05:33:48.791340
DDTS,ok,115,2026-02-14T05:34:01.510193
DDV,ok,63,2026-02-14T05:34:14.205967
DDWM,ok,1256,2026-02-14T05:34:27.116839
DDX,ok,1105,2026-02-14T05:34:40.447576
DDXX,ok,63,2026-02-14T05:34:53.168737
DECM,ok,286,2026-02-14T05:35:05.926683
DECO,ok,359,2026-02-14T05:35:18.654404
DECP,ok,432,2026-02-14T05:35:31.415436
DECT,ok,803,2026-02-14T05:35:44.368851
DECU,ok,301,2026-02-14T05:35:57.084656
DECW,ok,803,2026-02-14T05:36:10.004356
DECZ,ok,1256,2026-02-14T05:36:22.975618
DEED,ok,1256,2026-02-14T05:36:35.907039
DEEF,ok,1256,2026-02-14T05:36:48.766229
DEEP,ok,1256,2026-02-14T05:37:01.677165
DEFI,ok,856,2026-02-14T05:37:14.813469
DEFR,ok,190,2026-02-14T05:37:27.554561
DEHP,ok,954,2026-02-14T05:37:40.356817
DESK,ok,602,2026-02-14T05:37:53.115091
DEUS,ok,1256,2026-02-14T05:38:05.932553
DEW,ok,1256,2026-02-14T05:38:18.829531
DEXC,ok,312,2026-02-14T05:38:31.558011
DFAC,ok,1174,2026-02-14T05:38:44.501045
DFAR,ok,997,2026-02-14T05:38:57.303405
DFAT,ok,1174,2026-02-14T05:39:10.371303
DFAU,ok,1256,2026-02-14T05:39:23.310552
DFAW,ok,598,2026-02-14T05:39:36.054821
DFCA,ok,662,2026-02-14T05:39:48.806996
DFCF,ok,1065,2026-02-14T05:40:01.679512
DFEB,ok,1256,2026-02-14T05:40:14.497992
DFEN,ok,1256,2026-02-14T05:40:27.411296
DFGP,ok,568,2026-02-14T05:40:40.414501
DFGR,ok,799,2026-02-14T05:40:53.200838
DFGX,ok,568,2026-02-14T05:42:05.948805
DFIC,ok,977,2026-02-14T05:42:18.711806
DFII,ok,218,2026-02-14T05:42:31.443923
DFIP,ok,1065,2026-02-14T05:42:44.300153
DFIS,ok,977,2026-02-14T05:42:57.102045
DFJ,ok,1256,2026-02-14T05:43:10.088869
DFLV,ok,799,2026-02-14T05:43:22.844288
DFNL,ok,1256,2026-02-14T05:43:35.856365
DFNM,ok,1065,2026-02-14T05:43:48.725075
DFSB,ok,813,2026-02-14T05:44:01.518234
DFSD,ok,1065,2026-02-14T05:44:14.361304
DFSE,ok,823,2026-02-14T05:44:27.135249
DFSI,ok,823,2026-02-14T05:44:39.890066
DFSU,ok,823,2026-02-14T05:44:52.683409
DFSV,ok,997,2026-02-14T05:45:05.459348
DFTT,ok,64,2026-02-14T05:45:18.166577
DFUV,ok,946,2026-02-14T05:45:31.068054
DFVE,ok,511,2026-02-14T05:45:43.796179
DFVX,ok,572,2026-02-14T05:45:56.524878
DGCB,ok,568,2026-02-14T05:46:09.319056
DGIN,ok,1001,2026-02-14T05:46:22.075945
DGJA,ok,19,2026-02-14T05:46:34.838629
DGLO,ok,132,2026-02-14T05:46:47.577264
DGOC,ok,81,2026-02-14T05:47:00.292118
DGRE,ok,1256,2026-02-14T05:47:13.164006
DGT,ok,1256,2026-02-14T05:47:26.183297
DHDG,ok,330,2026-02-14T05:47:38.928431
DHLX,ok,96,2026-02-14T05:47:51.638101
DHSB,ok,251,2026-02-14T05:48:04.390921
DIA,ok,1256,2026-02-14T05:48:17.691373
DIAL,ok,1256,2026-02-14T05:48:30.645674
DIEM,ok,1255,2026-02-14T05:48:43.871461
DIG,ok,1256,2026-02-14T05:48:56.856739
DIHP,ok,977,2026-02-14T05:49:09.647431
DIME,ok,90,2026-02-14T05:49:22.553946
DIPS,ok,392,2026-02-14T05:49:35.521845
DISO,ok,619,2026-02-14T05:49:48.320519
DISV,ok,977,2026-02-14T05:50:01.096450
DIVB,ok,1256,2026-02-14T05:50:14.038288
DIVD,ok,846,2026-02-14T05:50:26.924384
DIVE,ok,105,2026-02-14T05:50:39.659677
DIVG,ok,548,2026-02-14T05:50:52.568868
DIVI,ok,1255,2026-02-14T05:51:05.721507
DIVL,ok,628,2026-02-14T05:51:18.541130
DIVN,ok,161,2026-02-14T05:51:31.269046
DIVP,ok,487,2026-02-14T05:52:44.023212
DIVS,ok,1227,2026-02-14T05:52:56.894834
DIVY,ok,1255,2026-02-14T05:53:10.617004
DIVZ,ok,1256,2026-02-14T05:53:23.650771
DJAN,ok,1256,2026-02-14T05:53:36.430201
DJD,ok,1256,2026-02-14T05:53:49.449086
DJIA,ok,997,2026-02-14T05:54:02.282127
DJTU,ok,240,2026-02-14T05:54:14.999863
DJUL,ok,1256,2026-02-14T05:54:27.780743
DJUN,ok,1256,2026-02-14T05:54:40.575218
DKNX,ok,137,2026-02-14T05:54:53.339644
DKUP,ok,137,2026-02-14T05:55:06.067294
DLAG,ok,101,2026-02-14T05:55:18.788163
DLLL,ok,251,2026-02-14T05:55:31.491571
DLNV,ok,56,2026-02-14T05:55:44.197110
DMAR,ok,1232,2026-02-14T05:55:56.987300
DMAT,ok,1017,2026-02-14T05:56:09.772782
DMAX,ok,280,2026-02-14T05:56:22.695276
DMAY,ok,1256,2026-02-14T05:56:35.466311
DMBS,ok,719,2026-02-14T05:56:48.227841
DMCY,ok,1224,2026-02-14T05:57:01.044165
DMX,ok,300,2026-02-14T05:57:13.787660
DMXF,ok,1256,2026-02-14T05:57:26.710167
DNL,ok,1256,2026-02-14T05:57:39.726746
