date,value,cash,holdings_value
2024-08-21 00:00:00-04:00,1085558.0848712851,-385.489766659943,1085943.574637945
2024-08-22 00:00:00-04:00,1083888.7373689716,-411.2972558232319,1084300.0346247947
2024-08-23 00:00:00-04:00,1085344.0846912693,-437.1393969382887,1085781.2240882076
2024-08-26 00:00:00-04:00,1086683.4746494489,-463.01342904975445,1087146.4880784987
2024-08-27 00:00:00-04:00,1085503.1128526723,-488.8593566397607,1085991.972209312
2024-08-28 00:00:00-04:00,1086253.210568323,-514.7231441244228,1086767.9337124475
2024-08-29 00:00:00-04:00,1086064.2671213665,-540.5824328484725,1086604.8495542149
2024-08-30 00:00:00-04:00,1086664.8498109826,-566.4560215008448,1087231.3058324833
2024-09-03 00:00:00-04:00,1089068.8549623634,-25.930828233418676,1089094.7857905969
2024-09-04 00:00:00-04:00,1091879.5496732006,-51.92857936256938,1091931.4782525632
2024-09-05 00:00:00-04:00,1086361.8977333962,-77.79495469849158,1086439.6926880947
2024-09-06 00:00:00-04:00,1080546.9353670308,-103.52287525295789,1080650.4582422837
2024-09-09 00:00:00-04:00,1089692.8838880602,-129.46856167139785,1089822.3524497317
2024-09-10 00:00:00-04:00,1093582.4308114178,-155.50685855492884,1093737.9376699727
2024-09-11 00:00:00-04:00,1089385.5198694104,-181.44522660820178,1089566.9650960187
2024-09-12 00:00:00-04:00,1094575.0865867357,-207.50715871579328,1094782.5937454514
2024-09-13 00:00:00-04:00,1103652.6622229884,-233.78522872276938,1103886.4474517112
2024-09-16 00:00:00-04:00,1109174.7061738342,-260.1947790971553,1109434.9009529313
2024-09-17 00:00:00-04:00,1103239.6832784736,-286.4630160379985,1103526.1462945116
2024-09-18 00:00:00-04:00,1099827.8797759109,-312.650017627939,1100140.5297935389
2024-09-19 00:00:00-04:00,1098858.6234054114,-338.8139411357704,1099197.4373465471
2024-09-20 00:00:00-04:00,1097238.2813033317,-364.9392841511596,1097603.220587483
2024-09-23 00:00:00-04:00,1104470.6823007867,-391.2368312903959,1104861.9191320771
2024-09-24 00:00:00-04:00,1103262.9544732997,-417.505622320499,1103680.4600956202
2024-09-25 00:00:00-04:00,1096917.7908176512,-443.6233344283504,1097361.4141520795
2024-09-26 00:00:00-04:00,1094239.1526013974,-469.67726791727625,1094708.8298693146
2024-09-27 00:00:00-04:00,1097828.7742149709,-495.816670622459,1098324.5908855933
2024-09-30 00:00:00-04:00,1102261.39476233,-522.061614424986,1102783.456376755
2024-10-01 00:00:00-04:00,1097196.432501233,-26.124346591502093,1097222.5568478245
