config,window,risk_aversion,axioma_penalty,shrinkage_strength,n_resample,cagr,log_cagr,vol,sharpe,sortino,max_dd
mvo_r1.50_a0.010_s0.20_n0,5y,1.5,0.01,0.2,0,0.12816656602427456,0.12108787405125052,0.18809176219445548,0.525621329636916,0.6989106995730213,-0.19806156796140395
mvo_r1.50_a0.010_s0.20_n0,3y,1.5,0.01,0.2,0,0.17014297505826814,0.15806379084417066,0.1591199724788526,0.8220296528948892,1.0758901062049409,-0.12561741887840916
mvo_r1.50_a0.010_s0.50_n0,full,1.5,0.01,0.5,0,0.12480080647493064,0.11784794830517642,0.20953203116606312,0.4772023763871198,0.5758249974462576,-0.3860368243446254
mvo_r1.50_a0.010_s0.50_n0,5y,1.5,0.01,0.5,0,0.12858249748966655,0.12145799541552288,0.18806539833919345,0.5276377415982366,0.701301760204849,-0.1980437378443619
mvo_r1.50_a0.010_s0.50_n0,3y,1.5,0.01,0.5,0,0.17095469179315703,0.158761379611691,0.1590638182449477,0.8266520458578501,1.081235325607639,-0.12561741887840905
mvo_r1.50_a0.010_s0.80_n0,full,1.5,0.01,0.8,0,0.12055627569532534,0.11405944665235052,0.20499274286925875,0.46469282488169694,0.5569969655571131,-0.3860368243446254
mvo_r1.50_a0.010_s0.80_n0,5y,1.5,0.01,0.8,0,0.1286814732561774,0.1215460500398486,0.1801719357466671,0.5431571913644275,0.7223197858653136,-0.16564793169871683
mvo_r1.50_a0.010_s0.80_n0,3y,1.5,0.01,0.8,0,0.17405494662432508,0.16142129307632438,0.1583615879708948,0.8464266308320392,1.1012792929838586,-0.12561741887840883
mvo_r1.50_a0.050_s0.20_n0,full,1.5,0.05,0.2,0,0.12063889996604837,0.11413333069566632,0.2053408534157163,0.4646145283518754,0.5569697726788267,-0.38517448807765686
mvo_r1.50_a0.050_s0.20_n0,5y,1.5,0.05,0.2,0,0.13376663020793944,0.12605974401841938,0.18070596718090048,0.5670689758985727,0.7559462559397502,-0.17129591518632026
mvo_r1.50_a0.050_s0.20_n0,3y,1.5,0.05,0.2,0,0.17696614721427895,0.16391261770196852,0.15747047382463558,0.8661515835419535,1.127649018245018,-0.12569506864991653
mvo_r1.50_a0.050_s0.50_n0,full,1.5,0.05,0.5,0,0.11557197217236292,0.10959228995988278,0.19888200287961286,0.45028110117075676,0.5340029982467445,-0.38425411911026297
mvo_r1.50_a0.050_s0.50_n0,5y,1.5,0.05,0.5,0,0.14397116231452722,0.13505674812106835,0.16783206344707308,0.6507587681515744,0.8769710628382357,-0.13968210952687887
mvo_r1.50_a0.050_s0.50_n0,3y,1.5,0.05,0.5,0,0.18725590945784565,0.17266919350409363,0.14979876899801733,0.9610400236964318,1.2884281682884473,-0.12544551967730921
mvo_r1.50_a0.050_s0.80_n0,full,1.5,0.05,0.8,0,0.11197111906934776,0.10635260811135062,0.18328302890068104,0.4543778237856509,0.543294646282587,-0.3496262871999022
mvo_r1.50_a0.050_s0.80_n0,5y,1.5,0.05,0.8,0,0.13095574391495624,0.12356724971630628,0.15888512609415772,0.6058557846950181,0.7995031984509959,-0.12931587543384993
mvo_r1.50_a0.050_s0.80_n0,3y,1.5,0.05,0.8,0,0.18766278052331398,0.17301387864297582,0.14587160555757758,0.9852931328309547,1.3040635295775747,-0.12544551967730944
