label,window,w_momentum,w_quality,w_volatility,sharpe,sortino,cagr,volatility,max_drawdown,hit_rate_monthly,turnover_avg
grid,full,0.2,0.0,0.8,-0.03185335353130585,-0.0313559956123759,0.03868556763242936,0.03720441970175828,-0.05711501454611734,0.7446808510638298,0.45138365312019957
grid,3yr,0.2,0.0,0.8,0.1764350387446428,0.18486985232398676,0.04737044292943482,0.04226006262888277,-0.05711501454611734,0.7297297297297297,0.5435355941093536
grid,full,0.2,0.1,0.7,-0.3379072645458761,-0.38198231263261384,0.024054064594545732,0.04475996055053736,-0.06914222074270426,0.5957446808510638,0.4953671869145608
grid,3yr,0.2,0.1,0.7,0.20931309841868853,0.22379009158212687,0.04960718928736685,0.04685814031054742,-0.06067703991999662,0.7027027027027027,0.5458746673504514
grid,full,0.2,0.2,0.6,-0.3731288080320746,-0.41554608434592516,0.019260686973589847,0.05219532881322286,-0.10096364196623131,0.5957446808510638,0.5028367139658563
grid,3yr,0.2,0.2,0.6,0.29226070200121373,0.31466316438414066,0.05491847538507599,0.05176685482564601,-0.07351639867012372,0.7027027027027027,0.5409404093698797
grid,full,0.2,0.3,0.5,-0.21450853683768384,-0.2413832064100488,0.025522787118442247,0.06005267655915716,-0.11915791057700265,0.574468085106383,0.4867893501240649
grid,3yr,0.2,0.3,0.5,0.4915532152346984,0.5382820041078793,0.0693335845824592,0.059428586240401364,-0.08410120496396167,0.7027027027027027,0.5160481346650854
grid,full,0.2,0.4,0.4,0.050624633020965516,0.05868256393950731,0.04183869959038433,0.06554329723598602,-0.11211481893735142,0.5531914893617021,0.4646622756287046
grid,3yr,0.2,0.4,0.4,0.7198717493679059,0.8168280662868248,0.08850156818531962,0.06598635596887667,-0.0897402669272167,0.7027027027027027,0.4952887272530504
grid,full,0.2,0.5,0.3,0.25729086828774483,0.30375643730141527,0.05788619224006575,0.07521552211931765,-0.10496118166081836,0.6170212765957447,0.4468751997505994
grid,3yr,0.2,0.5,0.3,0.8405938943443776,0.9784401809943124,0.10681057703181174,0.0774558271024865,-0.09035009125737403,0.7297297297297297,0.4693067346712883
grid,full,0.2,0.6,0.2,0.40429110969265303,0.5029555238471317,0.07211404723249237,0.08247455408921021,-0.10813918079661866,0.6170212765957447,0.433446779788396
grid,3yr,0.2,0.6,0.2,0.9720494592775181,1.2031042885504006,0.12636678072900298,0.08581482650341826,-0.08957640343916073,0.7297297297297297,0.45486822444967057
grid,full,0.2,0.7,0.1,0.5297435685383226,0.675727098010197,0.08747862059376721,0.0913935004926296,-0.1091683691009635,0.6382978723404256,0.4505022361299692
grid,3yr,0.2,0.7,0.1,1.0814603070922515,1.3829526181421092,0.1477567733103271,0.09544877999709467,-0.09254711352710998,0.7567567567567568,0.48242372582543624
grid,full,0.2,0.8,0.0,0.0818674034342418,0.08737304453308992,0.03711260242132797,0.19510877880445554,-0.35581415978178477,0.5957446808510638,0.4607418182953235
grid,3yr,0.2,0.8,0.0,0.28279097765401456,0.28702058594897045,0.07820490559751003,0.1954567753004158,-0.35581415978178477,0.6756756756756757,0.49819538846733535
grid,full,0.3,0.0,0.7,0.17166492537641745,0.1761786644612605,0.04840276045441971,0.05118519122648851,-0.07627729800373173,0.723404255319149,0.4582059736571988
grid,3yr,0.3,0.0,0.7,0.37554688524274127,0.4090536860630098,0.061592975926206606,0.05811037260268147,-0.07627729800373195,0.7027027027027027,0.5363478432411387
grid,full,0.3,0.1,0.6,0.1031624411272353,0.11948882905823122,0.045211008976428824,0.060571210028315656,-0.08004987728082302,0.5957446808510638,0.49133428895538583
